# Unfamiliar words — words you need to practice
# Format: word	TAB	meaning
# This file is generated by the init-wordlist skill.
abandon	v. 遗弃；离开；放弃；终止；陷入n. 放任，狂热
ability	n. 能力，能耐；才能
able	adj. 能；[经管] 有能力的；能干的n. (Able)人名；(伊朗)阿布勒；(英)埃布尔
abnormal	adj. 反常的，不规则的；变态的
aboard	adv. 在（飞机、火车、船）上；骑在（马）上；（喻）新入伙；（棒球）在垒上prep.  在 （船或飞机）上
abolish	vt. 废除，废止；取消，革除adv.附近,大约,转向,左右,周围;prep.在附近,关于,在...周围,忙于adj.上面的,上述的,上文的;adv.在上面;prep.在...上方,过于,超出16
about	adv. 在国外；到海外adj. 往国外的n. 海外；异国
above	adj. 生硬的；突然的；唐突的；陡峭的
abroad	n. 没有；缺乏；缺席；不注意
abrupt	adj. 缺席的；缺少的；心不在焉的；茫然的vt. 使缺席
absence	adj. 绝对的；完全的；专制的n. 绝对；绝对事物
absent	adv. 绝对地；完全地
absolute	vt. 吸收；吸引；承受；理解；使…全神贯注
absolutely	adj. 纯理论的；抽象的；抽象派的n. 摘要；抽象；抽象的概念；抽象派艺术作品v. 摘要；提取；抽象化；退出；转移；使心不在焉
absorb	adj. 荒谬的；可笑的n. 荒诞；荒诞作品
absurd	adj. 丰富的；充裕的；盛产的
abundance	n. 滥用；虐待；辱骂；弊端；恶习，陋习vt. 滥用；虐待；辱骂n.(Abuse)人名；(英)阿比斯
abundant	adj. 学术的；理论的；学院的n. 大学生，大学教师；学者
abuse	n. 学院；研究院；学会；专科院校
academic	vt. 使……加快；使……增速vi. 加速；促进；增加
academy	n. 加速，促进；[物] 加速度；跳级
accelerate	n. 口音；重音；强调；特点；重音符号vt. 强调；重读；带…口音讲话
acceleration	vt. 接受；承认；承担；承兑；容纳vi. 承认；同意；承兑
accent	adj. 可接受的；合意的；可忍受的
accept	n. 接纳；赞同；容忍n.通路,访问,入门vt.存取,接近
acceptable	n. 配件；附件；[法] 从犯adj. 副的；同谋的；附属的
acceptance	n. 事故；意外；[法] 意外事件；机遇
access	adj. 意外的；偶然的；附属的；临时记号的n. 次要方面；非主要的特性；临时记号
accessory	vt. 容纳；使适应；供应；调解vi. 适应；调解
accident	n. 住处，膳宿；调节；和解；预订铺位
accidental	vt. 陪伴，伴随；伴奏vi. 伴奏，伴唱
accommodate	vt. 完成；实现；达到
accommodation	n. 符合；一致；协议；自愿vt. 使一致；给予vi. 符合；一致
accompany	n. 按照，依据；一致，和谐
accomplish	adv. 因此，于是；相应地；照着
accord	n. 账户；解释；账目，账单；理由；描述vi. 解释；导致；报账vt.认为；把…视为
accordance	vi. 累积；积聚vt. 积攒
accordingly	n. [数] 精确度，准确性
account	adj. 精确的
accumulate	vt. 控告，指控；谴责；归咎于vi. 指责；控告
accuracy	v. 使习惯于，使适应
accurate	adj. 习惯的；通常的；独有的v. 使习惯于（accustom的过去分词）n.疼痛vi.觉得疼痛,渴望
accuse	vt. 取得；获得；实现；成功vi. 达到预期的目的，实现预期的结果，如愿以偿
accustom	n. 成就；完成；达到；成绩
accustomed	n. 酸；俚迷幻药adj. 酸的；讽刺的；刻薄的
ache	vt. 承认；答谢；报偿；告知已收到
achieve	vt. 使熟悉；使认识
achievement	n. 熟人；相识；了解；知道
acid	vt. 获得；取得；学到；捕获
acknowledge	n. 获得物，获得；收购
acquaint	n. 土地，地产；英亩adv.横过,交叉地,在对面 prep.越过,交叉,在...的那边,在...对面那边n.幕,法案,法令,动作,举动,节目,(戏剧的)幕vi.行动,产生...的效果,担当,表演,假装,表现,见效vt.扮演,装作
acquaintance	n. 行动；活动；功能；战斗；情节n. （Action）（英）埃克申（人名）
acquire	vt. 刺激；使活动；使活泼；使产生放射性vi. 激活；有活力
acquisition	adj. 积极的；活跃的；主动的；有效的；现役的n. 主动语态；积极分子
acre	n. 活动；行动；活跃
across	n. 男演员；行动者；作用物
act	n. 女演员
action	adj. 真实的，实际的；现行的，目前的
activate	adv. 实际上；事实上
active	adj. 严重的，[医] 急性的；敏锐的；激烈的；尖声的abbr. 优势 (advantage)n. 广告；促销活动；预告片（advertisement，非正式）
activity	vt. 使适应；改编vi. 适应
actor	vi. 加；增加；加起来；做加法vt. 增加，添加；补充说；计算…总和n. 加法，加法运算
actress	n. 添加；[数] 加法；增加物
actual	adj. 附加的，额外的n.地址,致辞,演讲,说话的技巧vt.向...致辞,演说,写姓名地址,从事,忙于
actually	adj. 充足的；适当的；胜任的
acute	vi. 坚持；依附；粘着；追随vt. 使粘附
ad	adj. 邻近的，毗连的
adapt	adj. 形容词的；从属的n. 形容词
add	vi. 毗连，邻接vt. 毗连，邻接
addition	vt. 调整，使…适合；校准vi. 调整，校准；适应
additional	vt. 管理；执行；给予vi. 给予帮助；执行遗产管理人的职责；担当管理人
address	n. 管理；行政；实施；行政机构
adequate	vt. 钦佩；赞美vi. 钦佩；称赞
adhere	n. 承认；入场费；进入许可；坦白；录用
adjacent	vt. 承认；准许进入；可容纳vi. 承认；容许
adjective	adj. 青春期的；未成熟的n. 青少年
adjoin	vt. 采取；接受；收养；正式通过vi. 采取；过继
adjust	adj. 成年的；成熟的n. 成年人
administer	n. 发展；前进；增长；预付款vt. 提出；预付；使……前进；将……提前vi. 前进；进展；上涨adj. 预先的；先行的
administration	adj. 先进的；高级的；晚期的；年老的v. 前进；增加；上涨（advance的过去式和过去分词形式）
admire	n. 优势；利益；有利条件vi. 获利vt. 有利于；使处于优势
admission	n. 到来；出现；基督降临；基督降临节
admit	n. 冒险；冒险精神；投机活动vt. 冒险；大胆说出vi. 冒险
adolescent	n. 副词adj. 副词的
adopt	adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）115120
adult	vt. 通知；为…做广告；使突出vi. 做广告，登广告；作宣传
advance	n. 广告，宣传
advanced	n. 建议；忠告；劝告；通知
advantage	adj. 明智的，可取的，适当的
advent	vt. 建议；劝告，忠告；通知；警告vi. 建议；与…商量
adventure	v. 提倡，拥护；为……辩护n. 拥护者；辩护者；辩护律师，出庭律师；律师；为（某团体）谋利益者
adverb	adj. 空中的，航空的；空气的；空想的n. [电讯] 天线adj.航空的,飞行的,飞机的
adverse	n. 飞机（等于airplane）
advertise	adj. 美的；美学的；审美的，具有审美趣味的n. 审美；美学
advertisement	n. 事情；事务；私事；（尤指关系不长久的）风流韵事
advice	vt. 影响；感染；感动；假装vi. 倾向；喜欢n. 情感；引起感情的因素
advisable	n. 喜爱，感情；影响；感染
